"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VWA5B1",37.3220063740568,-3.65758311939619,0.916410753288177,-3.99120493323807,6.57384427220191e-05,0.0176885106064989
"ABCG2",220.041644466588,-2.06254183713636,0.530139563168402,-3.89056388247934,0.000100011542210348,0.0227057454424431
"MUC21",25.5426195398568,-4.59717464278022,1.08944496515544,-4.21974013356821,2.44584081183688e-05,0.0111056459362468
"GABRG1",26.2482311122011,-4.90424118250652,1.17272434761038,-4.18192151676539,2.8905575675491e-05,0.0119344089559389
"AQP7",70.8095487748398,-3.00875317733776,0.751947306389515,-4.00128194059811,6.30002371899982e-05,0.017271574459824
"SULT1E1",8.03249381046959,-5.03907871142269,1.3309977928311,-3.78594069694458,0.000153128192971436,0.0313373611813376
"PHF21B",32.3412577833783,-3.6093143373234,0.799318585699723,-4.51548907018571,6.31708049448971e-06,0.00382446581603898
"CCDC60",83.6931688983148,-4.43295839692399,1.06133904181653,-4.17675994405782,2.95690793127185e-05,0.0119344089559389
"ESRRB",66.3722021811848,-3.05756745159848,0.831974559340815,-3.67507325466903,0.000237781179572994,0.0416260305927182
"SCN7A",50.6646193722129,-2.63911536339388,0.688961776137807,-3.83056862484923,0.000127847470068865,0.0277257274641882
"COL24A1",171.83851927152,-2.83229558431831,0.713313845903081,-3.97061630106523,7.1686951512458e-05,0.0179588173357933
"BCHE",122.06323662607,-3.41721206851215,0.802778667528973,-4.25673003871746,2.0743858493201e-05,0.010393388410559
"CYP17A1",77.0549953243506,-2.32926375003061,0.640147714199202,-3.63863480000771,0.000274087151856358,0.0452555263235555
"SCN2A",56.6568055756073,-3.41103336184672,0.744467916968561,-4.58184064631863,4.60901062612497e-06,0.00318899639988552
"PWWP3B",157.122238097378,-2.61335623684168,0.657484962487726,-3.97477719787464,7.04451719416503e-05,0.0179573394440733
"FOXL2NB",76.9190918061094,-3.36416854315105,0.916598681107861,-3.67027425686986,0.000242290366055357,0.0419104645093374
"COL28A1",103.173324469242,-2.26735620570538,0.625810308161476,-3.62307264060014,0.000291124021176858,0.0475284497494354
"PROK1",25.4284283728592,-3.79406749176611,1.05137863576878,-3.60865949020529,0.000307783273338415,0.0475754357617784
"DDX25",141.191370169235,-2.43189603192557,0.585045701007131,-4.156762502039,3.22789240907953e-05,0.0122140940541255
"TTLL7",246.934838333189,-1.70719854540725,0.475285560812596,-3.59194279432444,0.000328221909103998,0.0491535135401978
"ARX",69.863990011575,-4.1329202114151,1.02797508784629,-4.02044783018428,5.80876124164624e-05,0.0162310193925231
"MAGEA10",107.084018129202,-6.04963359010655,1.55066623928686,-3.90131250480356,9.56725480377151e-05,0.022065430523619
"SLITRK5",205.065637343612,-3.21666727431288,0.70383398857925,-4.57020735927517,4.8724186801045e-06,0.00321801106463266
"KRT13",57.1213241065175,-3.51513305563522,0.882728806193879,-3.98212115767657,6.83029437511695e-05,0.0177221745125802
"STAR",157.511233421284,-3.40756165160072,0.819564328791974,-4.15777204044912,3.21366468546824e-05,0.0122140940541255
"FAM216B",132.834308295219,-4.26304565237136,1.19106504989938,-3.57918793161759,0.000344663553274453,0.0495837765255228
"NWD1",333.540533262574,-2.9079019296413,0.702129186390047,-4.14154828770485,3.44969225889905e-05,0.0122253728101959
"TOX3",150.270937487185,-3.60067642131377,0.978319624712554,-3.68047040083828,0.000232804083279086,0.0416260305927182
"MUCL1",59.4008946926867,-3.4351720631265,0.949691665136809,-3.61714458411261,0.000297870932952289,0.0475754357617784
"SULT1C4",706.753828846669,-2.74252062045668,0.713627859444899,-3.84306832217841,0.000121505625413298,0.02674964753417
"TBX1",241.921626813841,-2.88798283597379,0.683662143198164,-4.22428368267379,2.39701960637634e-05,0.0111056459362468
"DUOX1",892.106344476557,-2.48035730073076,0.613708556996978,-4.04158826278672,5.30903908839787e-05,0.0160709037405044
"ZNF521",795.096440008326,-2.33875606398191,0.543142022688493,-4.30597517092367,1.66251704926801e-05,0.00862727597352294
"PCSK2",206.721655317403,-3.28345524139929,0.900383720468282,-3.6467287965753,0.000265599989611966,0.0443582511386422
"FAXDC2",1849.03596323074,-1.8993010191645,0.467513449704578,-4.06255909934713,4.8537653722026e-05,0.0150053640123625
"A2ML1",417.265992949732,-3.84229516773639,0.808687640143994,-4.75127227992781,2.02140719936252e-06,0.00172770862392573
"ASTN1",452.893847007846,-3.05653582041685,0.730245161889749,-4.18562967607626,2.84376660584532e-05,0.0119344089559389
"OGN",337.355398835116,-2.75170090764583,0.768771403042385,-3.57934868122835,0.000344451628563175,0.0495837765255228
"PTPRT",872.009060852202,-6.13881583511036,1.108619459463,-5.53735168791274,3.07079538355139e-08,5.57733211537522e-05
"DPYSL5",112.281815719671,-4.00415881005557,0.945079165274479,-4.23685015730153,2.26677300529006e-05,0.0109787372556215
"SCG5",998.147942037207,-2.72744434334586,0.567421158887104,-4.80673711339079,1.53413505891121e-06,0.00155267097158508
"CAPN6",482.692736359528,-3.34171190734264,0.878182314551643,-3.80525985546493,0.000141655393764914,0.0298297517594812
"ABI3BP",1024.30082075427,-2.34380700032069,0.59228028794496,-3.95725984474853,7.58144463631847e-05,0.0180587525517553
"COL2A1",241.763727008211,-4.30788805540419,0.710032798920336,-6.06716768852747,1.30185612981307e-09,7.15887700363465e-06
"FLNC",1420.24105682453,-1.92184795954969,0.53162299087939,-3.6150580251818,0.000300280357781157,0.0475754357617784
"KRT4",615.2333919961,-3.74097000662627,0.835922347770014,-4.47526019205736,7.63183150442476e-06,0.00443562047037167
"CRISP3",252.810355757908,-4.40675795280871,1.06104779962827,-4.15321341258386,3.27838725472054e-05,0.0122140940541255
"CPAMD8",1748.54064107008,-1.81132398684125,0.400300983762183,-4.52490515965692,6.0422595196798e-06,0.0038171317748238
